1	0.7630	-1669447141.6453
2	1.4061	-828657330.1941
3	1.8367	-423412356.4193
4	2.2497	-335028723.9635
5	2.7752	-359987186.7431
6	3.2592	-304338526.1689
7	3.6705	-300375776.9851
8	4.2226	-285683432.0846
9	4.6448	-290286843.3956
10	5.1678	-272937793.6180
11	5.5780	-273941893.4317
12	6.0482	-252429338.3625
13	6.5285	-236361073.2119
14	6.9184	-250212636.5437
15	7.4977	-244449958.3419
16	7.9182	-221069024.6421
17	8.3669	-227901681.0755
18	8.8048	-237042109.3159
19	9.1764	-227671240.0277
20	9.7989	-218598111.0668
21	10.1750	-218113192.8959
22	10.5934	-211880580.6799
23	11.1697	-203011193.9851
24	11.5458	-206774849.0983
25	12.3638	-197259561.1906
26	12.8594	-204703087.6717
27	13.3606	-192204580.1884
28	13.9235	-182203974.2538
29	14.3335	-188280996.2127
30	15.0339	-185392872.5844
31	15.6176	-173391162.0132
32	16.4998	-179838671.0851
33	17.1092	-186583587.0569
34	17.6321	-181651717.5787
35	18.3197	-172927624.9130
36	19.0725	-168118358.5030
37	19.6477	-163865791.4696
38	20.0684	-162219940.7883
39	20.7690	-166638240.9996
40	21.3133	-153995635.0981
41	21.7373	-175375048.5554
42	22.3227	-159424546.7354
43	23.0027	-151696624.2129
44	23.9871	-149575185.0701
45	24.8296	-152329517.5520
46	25.9476	-144504662.6973
47	26.5882	-143157548.1326
48	27.0343	-139724030.6876
49	27.8167	-142066687.9241
50	28.3624	-155667390.6282
51	28.8687	-147676674.6102
52	29.4761	-137269209.9137
53	29.9242	-141895208.5024
54	30.5159	-132763246.8092
55	31.0836	-138592909.5227
56	31.7453	-132404187.8718
57	32.8290	-128590370.5173
58	33.6226	-124633698.6760
59	34.4546	-122618969.0126
60	34.9693	-121949261.3633
61	35.5791	-128318421.7096
62	36.2703	-124633211.2481
63	36.7413	-130278109.8555
64	37.2342	-121186427.0894
65	37.6092	-114617685.4738
66	38.0943	-116980917.9333
67	38.5685	-120962692.1059
68	39.1024	-120166339.1131
69	39.8800	-112868505.4218
70	40.7709	-111854343.1858
71	41.7426	-120196883.9656
72	42.5165	-112827044.4161
73	43.0946	-108909682.0321
